CustomerChannelID,CustomerID,ChannelTypeID,ChannelValue,InsertDate
1,41,2,lrhwxstrujxhphptdgzozltqmxjcheqkqukzbrsznbhocifbnxdgkvnl,2023-07-29 07:41:00
2,85,4,giulbbcuuebuzhgppugrsmkoozolxyasiilaxobariynbhaeomqdxfjq,2022-02-23 09:12:38
3,35,5,iaqebiliflhnqmuxyjmwwdbuputiqqjmvafvqkvpxlrkzbpvpqwepyqo,2022-02-22 15:31:01
4,38,3,kwluhuquuevsunxactdwtjutxejghfjidfykjxsugzsjelwqltqxlfmf,2023-04-02 08:54:27
5,93,1,pkzaisssoksznocwseggrrmtbfdoupqdddbubhglrrnrxnogrbpwcvhb,2022-05-24 05:09:29
6,5,5,uqnadkjrxpudrvnjbbtemmxwtlfvsapizuucwcquppdpbbhrojjpyomi,2023-08-24 19:24:24
7,30,3,zttcuokerqazqeayukdfqtvgaeextxvfcsfvocyuaojqiaihhnuhkjof,2022-03-28 16:15:44
8,96,3,tmzlhbuamemrsdrimvodrkexpgcfnexbtqlydbwvvjqskmobmanbobkp,2022-10-26 00:26:52
9,36,2,llevkxxgzvhljqcqtpiajswpiebmsaecvzcyjojergfomcmelzlwnxee,2023-02-07 22:27:17
10,91,5,vpsqkwbmixgzmzqvoclmullafhpcdhftggrlgrqksueezbnasflebaci,2022-04-09 11:36:41
11,69,4,wiagsfbywyfitmcrmswsrcxykjkvadoevccscdapanbtevhrdgcieygc,2022-11-23 10:17:33
12,76,5,jnziglzxkwheoooosfzvhqktafhzuohgwizvwygdzjteginzmqchiwwm,2022-05-19 11:43:42
13,97,5,tkeivzvivskztmfobaocrpwapjsripbxuhrqtqcfoqrvntmyvdonkkmn,2022-08-20 16:18:06
14,75,5,wjfsdynxammthdxduwamyhejfdikpftyrzmwigvoqdkzfurpzdhjrqnu,2023-08-17 01:18:43
15,45,3,rojjbijspqzgsewdrsyrjbkdenuqmozzolqrshhqgdgrkuhhlasfmkay,2023-02-16 13:42:06
16,67,2,jodctbefaqmsnxofhqqbbvfenrycbcrhmbjojsketbjfvyzjhyerjqvs,2023-07-20 12:08:35
17,72,5,xxyeyixrnemdlqpewqkxckagxkiwvfmcwnusphfjkwywacfpkuagrqgc,2022-09-30 19:49:25
18,23,1,azjjfeyibnjppnywqdrcruzcfdeafzswmtpfrdgyydpavolyhhngmcdp,2023-03-08 05:44:51
19,12,5,cwkgicitgifmrbebabhzzbsburvlxyohxrottqrkkmwoiukkjiyeblmc,2022-07-04 08:24:17
20,31,2,vxzrupwfafjihnnnyyvdpoxeaiuktvwlrjocbszwvurdbwkwcndnbear,2022-11-09 01:58:02
21,98,2,xayirhpwtshxuwlfvdmsdilfxbxacueofqrbadcgvkeoedkbojgeipqj,2023-06-06 14:27:33
22,40,2,xmluffslwabakspydplyqgmxzultwoavjrkqzxngeacprospidgbwkol,2023-04-13 22:04:42
23,86,1,bjxlstukgpgezjemmhrmbjxjkroppmvpjigzrvitfpzbkobgsjtkjdld,2022-12-13 08:30:11
24,3,4,fuzmzzklgsvyutetyjsmgrdaiwqydftuamqrkqblxocsfzcafutckiag,2022-10-11 06:23:07
